id,item_cnt_month
0,1
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,2
9,1.244186046511628
10,4
11,0
12,0.8202959830866807
13,1
14,2
15,2
16,0.20930232558139536
17,0
18,2
19,1.1226215644820297
20,1
21,0.23255813953488372
22,1
23,1
24,2
25,0.8604651162790697
26,0.3023255813953488
27,1
28,1
29,2
30,1
31,0.23255813953488372
32,1
33,1
34,0.19450317124735728
35,0.18816067653276958
36,0
37,1
38,0
39,0
40,0
41,1
42,3
43,4
44,0
45,0
46,2
47,0
48,1
49,1
50,2
51,0
52,0
53,0
54,8
55,2
56,5
57,3
58,3
59,4
60,2
61,0
62,1
63,0
64,0
65,0
66,1
67,0.2029598308668076
68,0
69,3.443974630021142
70,0
71,1
72,1
73,2
74,0
75,0
76,0
77,0
78,1
79,1
80,2
81,5
82,1
83,0
84,1
85,1
86,1
87,0.5496828752642706
88,3
89,1
90,1
91,0
92,4
93,0
94,0
95,0.22790697674418606
96,0.12684989429175475
97,1
98,1
99,2
100,1
101,0
102,0
103,0
104,0.6427061310782242
105,0.8604651162790697
106,0.5348837209302325
107,0
108,0
109,0
110,0
111,0.5116279069767442
112,0.23255813953488372
113,0.7906976744186046
114,0
115,0
116,0.6046511627906976
117,0
118,11
119,0
120,0.47780126849894294
121,0.6680761099365751
122,0
123,1
124,1
125,1
126,0.27906976744186046
127,0.3023255813953488
128,0.32558139534883723
129,0
130,0
131,0.09302325581395349
132,0
133,1
134,0.46934460887949264
135,0
136,0
137,2.558139534883721
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0.3388704318936877
150,0.7526427061310783
151,0.7209302325581395
152,2
153,0
154,0.2219873150105708
155,0
156,1
157,0.8217054263565892
158,0
159,0
160,1.4883720930232558
161,0
162,1.0232558139534884
163,1
164,0
165,0.638477801268499
166,1
167,0.5560253699788583
168,0
169,0.7906976744186046
170,0
171,1
172,0
173,4
174,6
175,9
176,1
177,0
178,0
179,0.3171247357293869
180,0
181,0
182,0.17674418604651163
183,0
184,0
185,0.06976744186046512
186,0.25158562367864695
187,0
188,0
189,0
190,1.0775193798449614
191,2
192,0
193,0
194,0.47357293868921774
195,0
196,0
197,3
198,1
199,0
200,0
201,0
202,0
203,2
204,0
205,0
206,0
207,0.22674418604651161
208,1
209,1
210,0
211,0
212,0.14799154334038053
213,0
214,0
215,1
216,1
217,1
218,2
219,1
220,1
221,0
222,0
223,1
224,3
225,1
226,0
227,0.5412262156448203
228,0
229,0.09302325581395349
230,0
231,0
232,0.13565891472868216
233,0
234,0.12093023255813953
235,1
236,0
237,1
238,0
239,0
240,1
241,0.572938689217759
242,0.12790697674418605
243,0
244,0
245,0
246,2
247,1
248,1
249,0.8435517970401691
250,0
251,0
252,0
253,2
254,0
255,2
256,1.186046511627907
257,0
258,1
259,0
260,0.6212624584717609
261,0.733615221987315
262,1
263,0.12144702842377261
264,0.773784355179704
265,1
266,0.6088794926004228
267,0
268,0.5906976744186047
269,0.8471760797342193
270,2
271,0.5087209302325582
272,0
273,0
274,10
275,0.19767441860465115
276,0
277,2
278,0
279,0
280,0
281,0
282,0
283,1
284,0
285,0
286,0.046511627906976744
287,1
288,0
289,0
290,0.18895348837209303
291,0.748414376321353
292,0
293,0
294,0
295,1
296,0
297,0
298,0.031007751937984496
299,0.3023255813953488
300,1.2684989429175475
301,0
302,1
303,1
304,0.3488372093023256
305,0.21564482029598311
306,0
307,0
308,0
309,1.3255813953488371
310,1.3255813953488371
311,1
312,1
313,0
314,0.48625792811839325
315,0
316,0
317,1
318,0.23678646934460887
319,0
320,0.5348837209302325
321,0.34460887949260044
322,1
323,0
324,1
325,1
326,0
327,0.023255813953488372
328,0.11627906976744186
329,0
330,0.22480620155038758
331,0
332,0
333,0
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,0
342,0
343,2
344,0.572093023255814
345,2.3890063424947146
346,4
347,3
348,0
349,1
350,0.28488372093023256
351,1
352,1.0549682875264272
353,0
354,0.20930232558139536
355,0
356,0
357,0
358,1
359,0
360,0
361,3
362,0
363,1
364,0
365,0
366,0
367,0.27061310782241016
368,0.3023255813953488
369,0
370,0
371,0
372,0
373,0.20930232558139536
374,2
375,2
376,0
377,0
378,0
379,0.21220930232558138
380,1
381,0
382,0
383,0.9418604651162791
384,3
385,0
386,0
387,1.558139534883721
388,0
389,0.46723044397463
390,0.313953488372093
391,0
392,6.048625792811839
393,1
394,0
395,0.1754756871035941
396,2
397,1
398,0.1543340380549683
399,0
400,0.5581395348837209
401,1
402,2
403,2
404,0
405,0
406,0
407,0.6232558139534884
408,0
409,0
410,0
411,1
412,1.2896405919661733
413,0
414,0.2029598308668076
415,4
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,0
427,0.7674418604651163
428,2
429,1
430,1
431,1
432,0.30655391120507397
433,0.21511627906976744
434,0.3150105708245243
435,1
436,0
437,1
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,0.06395348837209303
458,1
459,1
460,42
461,1
462,0
463,0
464,1
465,0.7674418604651163
466,0.23255813953488372
467,0
468,0.16279069767441862
469,1
470,0
471,1
472,0
473,0.08879492600422834
474,0
475,1
476,0.19534883720930232
477,2.2177589852008457
478,0.3953488372093023
479,0.4883720930232558
480,0
481,0
482,0
483,0
484,1
485,1
486,1
487,0
488,0.5891472868217054
489,2
490,0
491,0
492,1
493,0.023255813953488372
494,0
495,0
496,0
497,0
498,2
499,1.4186046511627908
500,0
501,1
502,1
503,0.22480620155038758
504,3
505,2
506,2
507,0
508,1
509,1
510,0
511,0.7758985200845667
512,0
513,0
514,0.23678646934460887
515,0
516,0
517,1
518,1
519,0
520,1
521,1
522,1
523,2
524,0
525,1
526,0
527,0
528,0.16067653276955604
529,0.34249471458773784
530,0
531,1
532,0.8160676532769556
533,0.8477801268498942
534,0.06395348837209303
535,0.3974630021141649
536,0
537,0
538,1
539,0
540,1
541,0
542,1
543,0
544,0.18139534883720929
545,0.07674418604651162
546,0
547,0
548,0.48546511627906974
549,3.135306553911205
550,0
551,1
552,0
553,0
554,0.8625792811839325
555,0
556,0
557,0
558,0.023255813953488372
559,0
560,0
561,1
562,0.693446088794926
563,0.2558139534883721
564,0.059431524547803614
565,0.4989429175475687
566,0
567,0.05813953488372093
568,0
569,2.2600422832980973
570,0.3023255813953488
571,0.8837209302325582
572,0
573,0
574,0.027906976744186046
575,0
576,0
577,0
578,0
579,0
580,0.03488372093023256
581,0.04186046511627907
582,0.06976744186046512
583,0.056847545219638244
584,1
585,0.3953488372093023
586,0.5767441860465117
587,1
588,2
589,0
590,1
591,1
592,2
593,0
594,0
595,0
596,0
597,0.3421926910299003
598,1.904862579281184
599,0.32558139534883723
600,0
601,0
602,0.26215644820295986
603,0.7272727272727273
604,0
605,0.5433403805496829
606,0.6701902748414376
607,0.37209302325581395
608,0.9809725158562368
609,1
610,1
611,1
612,0
613,0
614,0.03488372093023256
615,1
616,0
617,0
618,0
619,0
620,1
621,0
622,5.4186046511627906
623,1
624,0
625,0
626,0
627,0.23255813953488372
628,0.24947145877378435
629,0
630,0
631,0.03617571059431524
632,0
633,0.43974630021141653
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,0.18604651162790697
644,0.32558139534883723
645,0
646,0
647,0
648,0.44651162790697674
649,0
650,0
651,1
652,0.5813953488372093
653,0
654,0
655,0
656,1
657,0.93446088794926
658,0.3572938689217759
659,0
660,1
661,0
662,0.07308970099667773
663,2
664,0.24312896405919662
665,1
666,0
667,0
668,0
669,0
670,0
671,2.306553911205074
672,1.276955602536998
673,1
674,0.9069767441860465
675,1.302325581395349
676,1
677,1
678,0
679,2
680,0.13178294573643412
681,4.678646934460888
682,0
683,0
684,0
685,0
686,0
687,0
688,1
689,0
690,0.19873150105708245
691,0
692,0
693,1.813953488372093
694,0.17054263565891473
695,1
696,0
697,0.06201550387596899
698,0.29651162790697677
699,0.7364341085271318
700,1
701,0
702,1
703,1
704,0.25158562367864695
705,0
706,0
707,0.25
708,0.8816067653276956
709,3
710,0
711,0
712,0.12325581395348836
713,1
714,0
715,0.2558139534883721
716,0
717,0
718,0.08010335917312662
719,0
720,0.15946843853820597
721,0
722,0.4249471458773785
723,2
724,0
725,0
726,1
727,0
728,0
729,1
730,0
731,0.5750528541226215
732,1
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,0.27061310782241016
742,0.2930232558139535
743,0
744,1
745,0
746,0
747,0
748,1
749,0.13953488372093023
750,0
751,0
752,0
753,1.1162790697674418
754,3
755,1
756,0.17124735729386892
757,1
758,0.15856236786469344
759,1.8076109936575053
760,1
761,0
762,0.8604651162790697
763,1
764,0
765,0
766,0
767,0
768,1
769,0
770,1.2790697674418605
771,0.09302325581395349
772,0
773,0.24031007751937986
774,0.09302325581395349
775,0.26744186046511625
776,0
777,0
778,0.12790697674418605
779,0
780,0
781,0
782,1
783,0
784,0
785,0
786,1
787,1
788,0.4069767441860465
789,0
790,0
791,0
792,0
793,1
794,0
795,0.3953488372093023
796,0.7383720930232558
797,0
798,0
799,1
800,0
801,0
802,0
803,0
804,0
805,0.5412262156448203
806,0.7412790697674418
807,0
808,0
809,0.059431524547803614
810,1
811,1
812,0
813,0
814,0.39323467230443976
815,1
816,0
817,0.09302325581395349
818,0
819,0
820,0
821,0.16701902748414377
822,0
823,0
824,0
825,0
826,0
827,0
828,0.33403805496828753
829,0
830,0
831,0
832,0
833,1
834,0
835,0
836,0.6666666666666667
837,1
838,1
839,0.547568710359408
840,0.4439746300211416
841,0
842,0
843,0
844,0
845,0.06976744186046512
846,0
847,0
848,0
849,0
850,0
851,0
852,1
853,0
854,0
855,1
856,0
857,1
858,0
859,1
860,0
861,0.27325581395348836
862,0
863,0
864,0
865,1
866,0
867,0.386046511627907
868,1
869,0
870,1
871,0
872,0
873,0
874,1
875,2
876,0
877,0.38139534883720927
878,0
879,0
880,1.1416490486257929
881,0
882,1
883,1
884,1
885,1
886,0
887,1
888,0
889,1.3826638477801267
890,0
891,1
892,0.5436046511627907
893,0
894,0
895,0
896,0.09302325581395349
